job_role,job_description
Data Scientist,"Python, Machine Learning, Deep Learning, SQL, Pandas, NumPy, Data Visualization"
Data Analyst,"SQL, Excel, Power BI, Python, Data Cleaning, Data Visualization"
Machine Learning Engineer,"Python, TensorFlow, PyTorch, Machine Learning, NLP, Deep Learning"
Software Engineer,"Java, DSA, OOP, DBMS, Git, Problem Solving"
Web Developer,"HTML, CSS, JavaScript, React, Node.js, Responsive Design"
Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX, Bootstrap"
Backend Developer,"Node.js, Express, MongoDB, REST APIs, SQL"
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, MongoDB"
AI Engineer,"Python, Machine Learning, Deep Learning, NLP, Computer Vision"
Business Analyst,"Excel, SQL, Data Analysis, Communication, Stakeholder Management"
DevOps Engineer,"Docker, Kubernetes, AWS, CI/CD, Linux, Git"
Cloud Engineer,"AWS, Azure, Cloud Computing, Networking, Security"
Cyber Security Analyst,"Network Security, Ethical Hacking, Penetration Testing, Cryptography"
Database Administrator,"SQL, Database Management, Oracle, MySQL, Performance Tuning"
Mobile App Developer,"Java, Kotlin, Android, UI Design, APIs"
iOS Developer,"Swift, iOS Development, Xcode, UI Design"
Game Developer,"Unity, C#, Game Design, 3D Modeling"
Data Engineer,"Python, SQL, ETL, Hadoop, Spark, Data Warehousing"
Big Data Engineer,"Hadoop, Spark, Hive, Python, Data Processing"
AI Researcher,"Python, Deep Learning, NLP, Research, TensorFlow"
System Administrator,"Linux, Networking, Server Management, Security"
Network Engineer,"Networking, Cisco, Routing, Switching, Firewalls"
QA Engineer,"Testing, Automation Testing, Selenium, Manual Testing"
Test Engineer,"Software Testing, Test Cases, Bug Tracking, Automation"
UI Designer,"Figma, Adobe XD, UI Design, Prototyping"
UX Designer,"User Research, Wireframing, Prototyping, UX Design"
Product Manager,"Product Strategy, Agile, Communication, Market Research"
Project Manager,"Project Management, Agile, Scrum, Leadership"
Blockchain Developer,"Blockchain, Solidity, Ethereum, Smart Contracts"
Embedded Systems Engineer,"C, C++, Embedded Systems, Microcontrollers"
Robotics Engineer,"Robotics, Python, ROS, Automation"
AR/VR Developer,"Unity, AR, VR, 3D Development"
Technical Writer,"Documentation, Writing, Communication, Technical Skills"
SEO Specialist,"SEO, Digital Marketing, Google Analytics, Content Strategy"
Digital Marketing Specialist,"Social Media, SEO, Content Marketing, Analytics"
HR Analyst,"HR Analytics, Excel, Data Analysis, Communication"
Recruiter,"Recruitment, Communication, Screening, HR Tools"
Operations Analyst,"Operations, Data Analysis, Excel, Process Improvement"
Supply Chain Analyst,"Supply Chain, Logistics, Data Analysis, Forecasting"
Financial Analyst,"Finance, Excel, Financial Modeling, Data Analysis"
Accountant,"Accounting, Tally, Finance, Taxation"
Sales Executive,"Sales, Communication, Negotiation, CRM"
Customer Support Executive,"Customer Service, Communication, Problem Solving"
Technical Support Engineer,"Technical Support, Troubleshooting, Networking"
IT Support Engineer,"IT Support, Hardware, Software, Networking"
Research Analyst,"Research, Data Analysis, Reporting, Excel"
Content Writer,"Content Writing, SEO, Blogging, Communication"
Graphic Designer,"Photoshop, Illustrator, Design, Creativity"
Video Editor,"Video Editing, Premiere Pro, After Effects"
Social Media Manager,"Social Media, Content Creation, Analytics, Marketing"
