job_role,job_description,job_skills
Data Scientist,"Python, Machine Learning, Deep Learning, SQL, Pandas, NumPy, Data Visualization","['python', 'machine learning', 'deep learning', 'sql', 'pandas', 'numpy', 'data visualization']"
Data Analyst,"SQL, Excel, Power BI, Python, Data Cleaning, Data Visualization","['sql', 'excel', 'power bi', 'python', 'data cleaning', 'data visualization']"
Machine Learning Engineer,"Python, TensorFlow, PyTorch, Machine Learning, NLP, Deep Learning","['python', 'tensorflow', 'pytorch', 'machine learning', 'nlp', 'deep learning']"
Software Engineer,"Java, DSA, OOP, DBMS, Git, Problem Solving","['java', 'dsa', 'oop', 'dbms', 'git', 'problem solving']"
Web Developer,"HTML, CSS, JavaScript, React, Node.js, Responsive Design","['html', 'css', 'javascript', 'react', 'node.js', 'responsive design']"
Frontend Developer,"HTML, CSS, JavaScript, React, UI/UX, Bootstrap","['html', 'css', 'javascript', 'react', 'ui/ux', 'bootstrap']"
Backend Developer,"Node.js, Express, MongoDB, REST APIs, SQL","['node.js', 'express', 'mongodb', 'rest apis', 'sql']"
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, MongoDB","['html', 'css', 'javascript', 'react', 'node.js', 'mongodb']"
AI Engineer,"Python, Machine Learning, Deep Learning, NLP, Computer Vision","['python', 'machine learning', 'deep learning', 'nlp', 'computer vision']"
Business Analyst,"Excel, SQL, Data Analysis, Communication, Stakeholder Management","['excel', 'sql', 'data analysis', 'communication', 'stakeholder management']"
DevOps Engineer,"Docker, Kubernetes, AWS, CI/CD, Linux, Git","['docker', 'kubernetes', 'aws', 'ci/cd', 'linux', 'git']"
Cloud Engineer,"AWS, Azure, Cloud Computing, Networking, Security","['aws', 'azure', 'cloud computing', 'networking', 'security']"
Cyber Security Analyst,"Network Security, Ethical Hacking, Penetration Testing, Cryptography","['network security', 'ethical hacking', 'penetration testing', 'cryptography']"
Database Administrator,"SQL, Database Management, Oracle, MySQL, Performance Tuning","['sql', 'database management', 'oracle', 'mysql', 'performance tuning']"
Mobile App Developer,"Java, Kotlin, Android, UI Design, APIs","['java', 'kotlin', 'android', 'ui design', 'apis']"
iOS Developer,"Swift, iOS Development, Xcode, UI Design","['swift', 'ios development', 'xcode', 'ui design']"
Game Developer,"Unity, C#, Game Design, 3D Modeling","['unity', 'c#', 'game design', '3d modeling']"
Data Engineer,"Python, SQL, ETL, Hadoop, Spark, Data Warehousing","['python', 'sql', 'etl', 'hadoop', 'spark', 'data warehousing']"
Big Data Engineer,"Hadoop, Spark, Hive, Python, Data Processing","['hadoop', 'spark', 'hive', 'python', 'data processing']"
AI Researcher,"Python, Deep Learning, NLP, Research, TensorFlow","['python', 'deep learning', 'nlp', 'research', 'tensorflow']"
System Administrator,"Linux, Networking, Server Management, Security","['linux', 'networking', 'server management', 'security']"
Network Engineer,"Networking, Cisco, Routing, Switching, Firewalls","['networking', 'cisco', 'routing', 'switching', 'firewalls']"
QA Engineer,"Testing, Automation Testing, Selenium, Manual Testing","['testing', 'automation testing', 'selenium', 'manual testing']"
Test Engineer,"Software Testing, Test Cases, Bug Tracking, Automation","['software testing', 'test cases', 'bug tracking', 'automation']"
UI Designer,"Figma, Adobe XD, UI Design, Prototyping","['figma', 'adobe xd', 'ui design', 'prototyping']"
UX Designer,"User Research, Wireframing, Prototyping, UX Design","['user research', 'wireframing', 'prototyping', 'ux design']"
Product Manager,"Product Strategy, Agile, Communication, Market Research","['product strategy', 'agile', 'communication', 'market research']"
Project Manager,"Project Management, Agile, Scrum, Leadership","['project management', 'agile', 'scrum', 'leadership']"
Blockchain Developer,"Blockchain, Solidity, Ethereum, Smart Contracts","['blockchain', 'solidity', 'ethereum', 'smart contracts']"
Embedded Systems Engineer,"C, C++, Embedded Systems, Microcontrollers","['c', 'c++', 'embedded systems', 'microcontrollers']"
Robotics Engineer,"Robotics, Python, ROS, Automation","['robotics', 'python', 'ros', 'automation']"
AR/VR Developer,"Unity, AR, VR, 3D Development","['unity', 'ar', 'vr', '3d development']"
Technical Writer,"Documentation, Writing, Communication, Technical Skills","['documentation', 'writing', 'communication', 'technical skills']"
SEO Specialist,"SEO, Digital Marketing, Google Analytics, Content Strategy","['seo', 'digital marketing', 'google analytics', 'content strategy']"
Digital Marketing Specialist,"Social Media, SEO, Content Marketing, Analytics","['social media', 'seo', 'content marketing', 'analytics']"
HR Analyst,"HR Analytics, Excel, Data Analysis, Communication","['hr analytics', 'excel', 'data analysis', 'communication']"
Recruiter,"Recruitment, Communication, Screening, HR Tools","['recruitment', 'communication', 'screening', 'hr tools']"
Operations Analyst,"Operations, Data Analysis, Excel, Process Improvement","['operations', 'data analysis', 'excel', 'process improvement']"
Supply Chain Analyst,"Supply Chain, Logistics, Data Analysis, Forecasting","['supply chain', 'logistics', 'data analysis', 'forecasting']"
Financial Analyst,"Finance, Excel, Financial Modeling, Data Analysis","['finance', 'excel', 'financial modeling', 'data analysis']"
Accountant,"Accounting, Tally, Finance, Taxation","['accounting', 'tally', 'finance', 'taxation']"
Sales Executive,"Sales, Communication, Negotiation, CRM","['sales', 'communication', 'negotiation', 'crm']"
Customer Support Executive,"Customer Service, Communication, Problem Solving","['customer service', 'communication', 'problem solving']"
Technical Support Engineer,"Technical Support, Troubleshooting, Networking","['technical support', 'troubleshooting', 'networking']"
IT Support Engineer,"IT Support, Hardware, Software, Networking","['it support', 'hardware', 'software', 'networking']"
Research Analyst,"Research, Data Analysis, Reporting, Excel","['research', 'data analysis', 'reporting', 'excel']"
Content Writer,"Content Writing, SEO, Blogging, Communication","['content writing', 'seo', 'blogging', 'communication']"
Graphic Designer,"Photoshop, Illustrator, Design, Creativity","['photoshop', 'illustrator', 'design', 'creativity']"
Video Editor,"Video Editing, Premiere Pro, After Effects","['video editing', 'premiere pro', 'after effects']"
Social Media Manager,"Social Media, Content Creation, Analytics, Marketing","['social media', 'content creation', 'analytics', 'marketing']"
